Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Duration (minutes)
Miracle on 34th Street,George Seaton,Edmund Gwenn,1947,7.9,88,Approved,Comedy,96
The Bear,Jean-Jacques Annaud,Tchéky Karyo,1988,7.7,60,PG,Adventure,96
Finding Your Feet,Richard Loncraine,Imelda Staunton,2017,6.8,53,PG-13,Comedy,111
Chupa,Jonás Cuarón,Demián Bichir,2023,5.5,48,PG,Action,95
Nim's Island,Jennifer Flackett,Jodie Foster,2008,6,55,PG,Adventure,96
The Little Prince,Stanley Donen,Richard Kiley,1974,6.4,57.1,G,Family,88
The Willoughbys,Kris Pearn,Will Forte,2020,6.4,68,PG,Animation,90
Shaun the Sheep Movie,Mark Burton,Justin Fletcher,2015,7.3,81,PG,Animation,85
A Greyhound of a Girl,Enzo D'Alò,Charlotte Infussi D'Amico,2023,7.2,57.1,PG,Animation,100
Goodbye Christopher Robin,Simon Curtis,Domhnall Gleeson,2017,7.1,54,PG,Biography,107
The Royal Treatment,Rick Jacobson,Laura Marano,2022,5.2,36,TV-PG,Comedy,96
Miracle on 34th Street,Les Mayfield,Richard Attenborough,1994,6.6,57.1,PG,Drama,114
Wonder Park,Dylan Brown,Sofia Mali,2019,5.9,45,PG,Animation,85
The War with Grandpa,Tim Hill,Robert De Niro,2020,5.7,34,PG,Comedy,94
Fantasy Football,Anton Cropper,Marsai Martin,2022,5.9,57.1,TV-PG,Action,98
Samson and Delilah,Cecil B. DeMille,Hedy Lamarr,1949,6.8,57.1,Approved,Drama,134
Zara Hatke Zara Bachke,Laxman Utekar,Vicky Kaushal,2023,6,57.1,Not Rated,Comedy,132
Night at the Museum: Kahmunrah Rises Again,Matt Danner,Joshua Bassett,2022,5,57.1,PG,Animation,77
Whale Rider,Niki Caro,Keisha Castle-Hughes,2002,7.5,80,PG-13,Drama,101
Rescued by Ruby,Katt Shea,Grant Gustin,2022,7.1,57.1,TV-G,Biography,90
A-X-L,Oliver Daly,Alex Neustaedter,2018,5.3,29,PG,Action,98
The Secret of Moonacre,Gabor Csupo,Ioan Gruffudd,2008,6,57.1,PG,Adventure,103
Yogi Bear,Eric Brevig,Dan Aykroyd,2010,4.6,35,PG,Animation,80
The Addams Family 2,Conrad Vernon,Oscar Isaac,2021,5.4,37,PG,Animation,93
Little Nemo: Adventures in Slumberland,Masami Hata,Gabriel Damon,1989,7.1,57.1,G,Animation,85
D.A.R.Y.L.,Simon Wincer,Mary Beth Hurt,1985,6.3,57.1,PG,Family,99
Treasure Island,Byron Haskin,Bobby Driscoll,1950,6.9,89,PG,Adventure,96
Fantasia 2000,James Algar,James Levine,1999,7.1,59,G,Animation,75
Benji,Brandon Camp,Gabriel Bateman,2018,6.3,53,TV-PG,Crime,87
102 Dalmatians,Michael D Moore,Glenn Close,2000,4.8,35,G,Adventure,100
My Favorite Martian,Donald Petrie,Christopher Lloyd,1999,5.1,33,PG,Comedy,94
Overcomer,Alex Kendrick,Alex Kendrick,2019,6.7,17,PG,Drama,119
Animal Crackers,Tony Bancroft,Emily Blunt,2017,5.8,60,PG,Animation,105
A Week Away,Roman White,Kevin Quinn,2021,5.8,32,TV-PG,Drama,94
A Simple Wish,Michael Ritchie,Martin Short,1997,5.3,57.1,PG,Comedy,89
Wonderwell,Vlad Marsavin,Carrie Fisher,2023,6,57.1,PG-13,Drama,96
A Street Cat Named Bob,Roger Spottiswoode,Luke Treadaway,2016,7.3,54,Not Rated,Biography,103
Animal Crackers,Victor Heerman,Groucho Marx,1930,7.4,77,G,Comedy,97
Rumble,Hamish Grieve,Geraldine Viswanathan,2021,5.9,48,PG,Animation,95
